txHash,tokenId,class,breedCount,withPrice,withPriceUsd,timestamp,part1,part2,part3,part4,part5,part6
0x73465a2243238b28998864160894f27a4d5f01c6db6de724050c2bb505cac429,10157316,Plant,3,"0,0022","3,83",2023-06-10 14:35:20,eyes-confused,ears-hollow,back-watering-can,mouth-zigzag,horn-cactus,tail-cattail
0xa76e586b38c41bde152cf561898452a313677c2adaaca44e8562cfa1dfd654c6,11197652,Aquatic,2,"0,00075","1,31",2023-06-10 14:35:17,eyes-telescope,ears-nimo,back-scarab,mouth-risky-fish,horn-arco,tail-nimo
0x37e77b3bc03e31ae94cda013aeef1111c83f7c2860c9c02949f797921b89774d,228248,Bug,3,"0,0008","1,4",2023-06-10 14:40:08,eyes-lucas,ears-leafy,back-snail-shell,mouth-pincer,horn-lagging,tail-thorny-caterpillar
0x33ee246354db90e41b7783be9fdcde394dc8ee9ce7c5add9ad6c6550170c7734,11689450,Beast,0,"0,0011","1,92",2023-06-10 14:39:02,eyes-puppy,ears-earwing,back-ronin,mouth-peace-maker,horn-wing-horn,tail-shrimp
0x895a7b685796e590415ef3428841aa51c46689082cb52a2533f26d08b1e17ebb,11747343,Mech,4,"0,015","26,16",2023-06-10 14:38:47,eyes-tricky,ears-innocent-lamb,back-timber,mouth-pincer,horn-teal-shell,tail-ant
0x8d90e3a8456caf8a211acf92cfb08d1a2e441d75ee4c7723b207195d5046528a,2375297,Beast,2,"0,002","3,49",2023-06-10 14:37:59,eyes-robin,ears-puppy,back-cupid,mouth-cute-bunny,horn-babylonia,tail-hare
0x400d5c6f4c57f35ae6ed82d582da884fce396f3325a489fc4349a7bf6252d94f,177688,Beast,4,"0,0009","1,57",2023-06-10 14:37:44,eyes-chubby,ears-nyan,back-ronin,mouth-goda,horn-imp,tail-cottontail
0x0c170181387d693efed4c7d5f11f6545dbab2ea207b12a07d7187718524c499d,10216034,Mech,0,"0,00065","1,13",2023-06-10 14:37:26,eyes-gero,ears-seaslug,back-hero,mouth-zigzag,horn-dual-blade,tail-hare
0xead098d20aca048ec29080bda0ee09e4d6488a9e596c3fce9d22c829bf6fccb9,11724458,Bug,4,"0,00397895","6,94",2023-06-10 14:36:47,eyes-topaz,ears-innocent-lamb,back-blue-moon,mouth-risky-fish,horn-shoal-star,tail-nimo
0x1d04c4c6477ea586f2fabc4f1cd909cb4a41e37e3ef2709481b4c2281a97363a,6206723,Aquatic,5,"0,00069999","1,22",2023-06-10 14:41:17,eyes-gero,ears-inkling,back-indian-star,mouth-lam,horn-shoal-star,tail-koi
0x4eac1cacf51c199b7456d76b05d3a63a5186b057b785336b12b84db029c96d2c,9869124,Dusk,0,"0,00065","1,13",2023-06-10 14:40:29,eyes-puppy,ears-risky-bird,back-green-thorns,mouth-tiny-turtle,horn-babylonia,tail-hot-butt
0x690c0e61223b796fcb34628fd155e176dbcd4b35577b001fc52f6e4fa8839d45,6348025,Aquatic,2,"0,00316126","5,51",2023-06-10 14:40:17,eyes-sleepless,ears-inkling,back-goldfish,mouth-piranha,horn-clamshell,tail-nimo
0xfbeefa5638bf97dc07e0efd4cbc70fafa057122eab2efae77ba5a5ef666622fc,256734,Aquatic,6,"0,00070783","1,23",2023-06-10 14:42:23,eyes-telescope,ears-gill,back-goldfish,mouth-risky-fish,horn-shoal-star,tail-nimo
0xb954fdfb7ecb3a7e3bb4eabf0d154343b4ea328c48eee92c772a4a2e58e88a8f,2684314,Plant,2,"0,001","1,74",2023-06-10 14:42:17,eyes-papi,ears-lotus,back-timber,mouth-piranha,horn-cactus,tail-carrot
0x2ce83a1dd15d261bb45ba3b16a739fbe429b2094b60a1dbdc6be02f1e8f70100,11163365,Plant,3,"0,00116","2,02",2023-06-10 14:42:17,eyes-cucumber-slice,ears-clover,back-sandal,mouth-serious,horn-beech,tail-cattail
0xfc9d6b0743f60fa2896599f9ac5790b95a288476cee69bea756a311bf38d8561,11655902,Reptile,4,"0,006","10,46",2023-06-10 14:45:05,eyes-gecko,ears-rosa,back-green-thorns,mouth-peace-maker,horn-watermelon,tail-gila
0xb4c069280c2fa1110f070ed5a7ce514500a636ba912d580123a0ffc1b774c8ee,1431746,Plant,2,"0,00115786","2,02",2023-06-10 14:42:50,eyes-papi,ears-small-frill,back-pumpkin,mouth-silence-whisper,horn-cactus,tail-carrot
0xeb643a3ed34e14ea6c20d1b28b256607d33b6ec87c4f7f7c518361e8f6d0b8eb,11766165,Aquatic,0,"0,00652969","11,38",2023-06-10 14:47:08,eyes-topaz,ears-innocent-lamb,back-timber,mouth-goda,horn-shoal-star,tail-nimo
0xf1d15d0ee3f4b795b7c34d4e177b607ca7e3ba06122a5e40c12436346f8dbc7e,11562313,Beast,4,"0,00555","9,67",2023-06-10 14:46:59,eyes-little-peas,ears-innocent-lamb,back-hero,mouth-confident,horn-pocky,tail-koi
0x5e974c57ad2257d98c4ca4f370401648660dfa2ebcd03bceabc3b57c3b59ba30,11501651,Beast,0,"0,00067566","1,18",2023-06-10 14:46:50,eyes-chubby,ears-nyan,back-ronin,mouth-lam,horn-imp,tail-cottontail
0x8148dde4fab8f5e42ea0bde0bebddefcd8610a68b851ac5da16f9ac7ff878801,10365095,Dusk,3,"0,0006889","1,2",2023-06-10 14:46:23,eyes-little-owl,ears-curly,back-furball,mouth-tiny-turtle,horn-wing-horn,tail-grass-snake
0x589ff81544b60f798a45f13526c83fe51124cd28754bfa57d7d14e03168a55c5,11735312,Bug,0,"0,00419","7,3",2023-06-10 14:46:08,eyes-neo,ears-inkling,back-raven,mouth-doubletalk,horn-bamboo-shoot,tail-tadpole
0xefba8be5a00216fd968e8017d908c490e5a405eb3b910596414b0ce481e1a4d7,10963124,Beast,3,"0,00098","1,71",2023-06-10 14:45:56,eyes-chubby,ears-nyan,back-ronin,mouth-goda,horn-imp,tail-cottontail
0x9c05882b1bbadf89f06aaa955905ec5bee950df000809c76269a3641c29d8d94,1281053,Plant,2,"0,0006","1,05",2023-06-10 14:45:50,eyes-chubby,ears-sakura,back-mint,mouth-serious,horn-beech,tail-carrot
0x6f23806265057c49de785fb068f90043196ea55aa815fa57cc45bd6c4801fdfe,11755943,Mech,0,"0,00605593","10,55",2023-06-10 14:45:23,eyes-topaz,ears-innocent-lamb,back-goldfish,mouth-risky-fish,horn-oranda,tail-nimo
0x66f4d25d80d1265a66cd968739481e8c2edb35ba28299decfd3b8a7a8d5e7add,6401761,Reptile,3,"0,002","3,49",2023-06-10 14:45:05,eyes-neo,ears-curved-spine,back-tri-spikes,mouth-tiny-turtle,horn-scaly-spoon,tail-tiny-dino
0x0d0d22216b49a6d03e114a0c7f36eaadd8cad7709c44d48aeb510bcf931c714d,11742021,Dawn,5,"0,025","43,53",2023-06-10 14:56:20,eyes-topaz,ears-innocent-lamb,back-hero,mouth-risky-fish,horn-shoal-star,tail-nimo
0x4e8d68440dd0d53c8d50f64c9b594b08c2c00e800c3ff8c46027a3561cd87b51,11729207,Bug,0,"0,00096726","1,68",2023-06-10 14:55:47,eyes-topaz,ears-innocent-lamb,back-goldfish,mouth-risky-fish,horn-oranda,tail-post-fight
0xe7ab171ad31e93b6847ae63e51f3f6d28322d273ddb65762653e86c7f98007d8,11696737,Beast,4,"0,00644","11,21",2023-06-10 14:55:17,eyes-little-peas,ears-seaslug,back-ronin,mouth-piranha,horn-little-branch,tail-nut-cracker
0xf697a7dc131716e1cf56381f67b7aa0f41583d2cca3173e1bea0cf52c244c0d6,11742909,Bug,5,"0,0032","5,57",2023-06-10 14:55:02,eyes-topaz,ears-innocent-lamb,back-goldfish,mouth-risky-fish,horn-shoal-star,tail-nimo
0x39c44eb4e490b6c8b1578783bc509c275b4a6b0b38291e88663be74c40488c60,11471968,Beast,4,"0,005","8,71",2023-06-10 14:54:17,eyes-little-peas,ears-innocent-lamb,back-ronin,mouth-confident,horn-little-branch,tail-shiba
0x12e533e974b79ee50d642371760f9b986a519fe7e4e23abf00c7264ff6bf7225,11688940,Beast,0,"0,00217876","3,79",2023-06-10 14:53:47,eyes-chubby,ears-ear-breathing,back-tri-feather,mouth-little-owl,horn-dual-blade,tail-granmas-fan
0x00aca7c7ad7f179fc1b89e7932ed0f5cb17e73bf71d773fc2847aad9fed1b184,9250614,Bird,2,"0,00063351","1,1",2023-06-10 14:53:47,eyes-mavis,ears-clover,back-pigeon-post,mouth-doubletalk,horn-eggshell,tail-post-fight
0x6d47b76b0a920d14cdcf60167c78d301c2994b2d676a5bf960737dbb2bdc270a,11740967,Beast,3,"0,012","20,9",2023-06-10 14:53:38,eyes-topaz,ears-innocent-lamb,back-ronin,mouth-confident,horn-imp,tail-cottontail
0xc04434752adb742607f3820473556dd5be4088b9e41ae8f0e6a0b1391d97cdce,11717442,Beast,3,"0,00759709","13,23",2023-06-10 14:53:11,eyes-clear,ears-innocent-lamb,back-perch,mouth-nut-cracker,horn-merry,tail-cottontail
0x7b08ab000bb62c03ff2a19525e54ef2d4fd7d093a225f94cc7d5190a22b81fee,8195147,Beast,2,"0,00093519","1,63",2023-06-10 14:53:08,eyes-chubby,ears-tiny-fan,back-jaguar,mouth-axie-kiss,horn-dual-blade,tail-rice
0xc6a479ab4113a356a4dd5f0f969f03aaa354927a25e6ab2bd5ea6486a959c5f1,11612379,Plant,3,"0,01","17,41",2023-06-10 14:52:20,eyes-papi,ears-leafy,back-pumpkin,mouth-herbivore,horn-bamboo-shoot,tail-cattail
0xfcdaf98c6a9c701efd2a0b6cf6d2914e4e952ab48fbb4a1d857c8be9fe69c824,6841942,Aquatic,0,"0,000639","1,11",2023-06-10 14:52:17,eyes-lucas,ears-bubblemaker,back-goldfish,mouth-risky-fish,horn-strawberry-shortcake,tail-nimo
0x8a5fd420c43d368d6ca6aebc7f68824f893801dffacba7596b1821d7d610b943,11751237,Aquatic,5,"0,00495824","8,63",2023-06-10 14:51:56,eyes-topaz,ears-innocent-lamb,back-goldfish,mouth-risky-fish,horn-shoal-star,tail-nimo
0x5d7018c9061e5840303055dfc6803ba43186cca85a1858a498d4cb37b285919d,10431916,Aquatic,4,"0,00071999","1,25",2023-06-10 14:51:11,eyes-kotaro,ears-gill,back-pigeon-post,mouth-risky-fish,horn-wing-horn,tail-nimo
0xdfbc76019d2eb07e75e9c6b758436469f9f3dbcd28315d95c4c6d5257deaa509,11649822,Plant,3,"0,001","1,74",2023-06-10 14:50:44,eyes-kotaro,ears-earwing,back-buzz-buzz,mouth-pincer,horn-pocky,tail-granmas-fan
0x22e4843345af4a6b8d3f7d0046ce5704e3971115a6b3e906591a2b8f119d55c1,3839840,Aquatic,3,"0,00057002","0,99",2023-06-10 14:50:17,eyes-sleepless,ears-bubblemaker,back-goldfish,mouth-risky-fish,horn-shoal-star,tail-nimo
0x38e0f7ad8610c84e5ea3e20dee1c276f51de9e9fcd30984111bbcdc1c31517d8,11763889,Dusk,4,"0,01361451","23,71",2023-06-10 14:50:02,eyes-papi,ears-inkling,back-garish-worm,mouth-doubletalk,horn-parasite,tail-tadpole
0x437d94df2b5211568db087e7b988d8c397593433df902d91dcf87eed3cebf769,7056095,Dusk,0,"0,00074642","1,3",2023-06-10 14:49:26,eyes-scar,ears-small-frill,back-perch,mouth-tiny-turtle,horn-lagging,tail-thorny-caterpillar
0xb194e10c8cda275560aedb27a985aedab19ea5c26526c614a05710fffefae35c,10296026,Plant,3,"0,004","6,97",2023-06-10 14:49:26,eyes-confused,ears-sakura,back-bidens,mouth-zigzag,horn-cactus,tail-cattail
